"Message",Low,"Compilazione avviata."
"Message",Low,"Progetto ""Unnamed_1"" (destinazioni predefinite):"
"Message",Low,"Compilazione con la versione degli strumenti ""4.0""."
"Message",Low,"Destinazione ""PrintILCStartMessage"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" dal progetto ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\Unnamed_1"" (la destinazione ""Build"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""IlcMessageTask"" dall'assembly ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Attività ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Esecuzione attività ""IlcMessageTask"" completata."
"Message",Low,"Compilazione destinazione ""PrintILCStartMessage"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""RunGatekeeper"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" dal progetto ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\Unnamed_1"" (la destinazione ""Build"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""WriteLinesToFile"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""WriteLinesToFile"""
"Message",Low,"Esecuzione attività ""WriteLinesToFile"" completata."
"Message",Low,"Verrà utilizzata l'attività ""StartProcessTask"" dall'assembly ""Microsoft.Build.ILTasks""."
"Message",Low,"Attività ""StartProcessTask"""
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\obj\x86\Release\ilc\in\ClientDemo.exe'. "
"Message",Normal,"'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       47 |     1672 |     1672 |     1625 |     1672 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       1672 ms"
"Message",Normal,"System time per command: 1672 ms"
"Message",Normal,"Total duration:          1625 ms"
"Message",Normal,"Total lifetime:          1672 ms"
"Message",Normal,"Requested DOP:           2"
"Message",Normal,"Duration DOP:            1,0"
"Message",Normal,"Lifetime DOP:            1,0"
"Message",Low,"Esecuzione attività ""StartProcessTask"" completata."
"Message",Low,"Compilazione destinazione ""RunGatekeeper"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""LogAppContextSwitches"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" dal progetto ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\Unnamed_1"" (la destinazione ""SetMainTargetPaths"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""Message"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Esecuzione attività ""Message"" completata."
"Message",Low,"Compilazione destinazione ""LogAppContextSwitches"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""SetMainTargetPaths"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" dal progetto ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\Unnamed_1"" (la destinazione ""CopyNativeExecutablesToOutput"" dipende da essa):"
"Message",Low,"Compilazione destinazione ""SetMainTargetPaths"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione""GenerateFakeExe"" ignorata. Condizione false. (!Exists('@(InputILTarget)')) ha restituito (!Exists('C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\obj\x86\Release\ilc\in\ClientDemo.exe'))."
"Message",Low,"Destinazione""InjectCoreLibTypeForwards"" ignorata. Condizione false. ('$(UseSharedAssemblies)' != 'true') ha restituito ('true' != 'true')."
"Message",Low,"Destinazione ""InjectWindowsRuntimeTypeForwards"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" dal progetto ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\Unnamed_1"" (la destinazione ""RunILTransforms"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""MakeDir"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""MakeDir"""
"Message",Normal,"Creazione directory ""C:\sharp7-full-1.0.0\examples\UWP\ClientDemo\ClientDemo\obj\x86\Release\ilc\intermediate\TransformedSRWR\""."
"Message",Low,"Esecuzione attività ""MakeDir"" completata."
"Message",Low,"Verrà utilizzata l'attività ""ILTransformTask"" dall'assembly ""Microsoft.Build.ILTasks""."
"Message",Low,"Attività ""ILTransformTask"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 7 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 14 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   256 |          7 | InjectWindowsRuntimeTypeForwards"
